Time,sensor_mo.mean,Date,StudentID,TimePeriod,date-year,date-month,date-day,Season,Semester,Weekday
14:30,1,2024-02-12,1,3,2024,2,12,0,1,0
14:35,0,2024-02-12,1,3,2024,2,12,0,1,0
14:40,1,2024-02-12,1,3,2024,2,12,0,1,0
14:45,1,2024-02-12,1,3,2024,2,12,0,1,0
14:50,1,2024-02-12,1,3,2024,2,12,0,1,0
14:55,0,2024-02-12,1,3,2024,2,12,0,1,0
15:00,0,2024-02-12,1,3,2024,2,12,0,1,0
15:05,1,2024-02-12,1,3,2024,2,12,0,1,0
15:10,1,2024-02-12,1,3,2024,2,12,0,1,0
15:15,1,2024-02-12,1,3,2024,2,12,0,1,0
15:20,0,2024-02-12,1,3,2024,2,12,0,1,0
15:25,1,2024-02-12,1,3,2024,2,12,0,1,0
15:30,1,2024-02-12,1,3,2024,2,12,0,1,0
15:35,0,2024-02-12,1,3,2024,2,12,0,1,0
15:40,1,2024-02-12,1,3,2024,2,12,0,1,0
15:45,1,2024-02-12,1,3,2024,2,12,0,1,0
15:50,1,2024-02-12,1,3,2024,2,12,0,1,0
15:55,1,2024-02-12,1,3,2024,2,12,0,1,0
16:00,1,2024-02-12,1,3,2024,2,12,0,1,0
14:00,1,2024-02-12,2,3,2024,2,12,0,1,0
14:05,1,2024-02-12,2,3,2024,2,12,0,1,0
14:10,1,2024-02-12,2,3,2024,2,12,0,1,0
14:15,1,2024-02-12,2,3,2024,2,12,0,1,0
14:20,1,2024-02-12,2,3,2024,2,12,0,1,0
14:25,1,2024-02-12,2,3,2024,2,12,0,1,0
14:30,0,2024-02-12,2,3,2024,2,12,0,1,0
14:35,1,2024-02-12,2,3,2024,2,12,0,1,0
14:40,1,2024-02-12,2,3,2024,2,12,0,1,0
14:45,0,2024-02-12,2,3,2024,2,12,0,1,0
14:50,1,2024-02-12,2,3,2024,2,12,0,1,0
14:55,1,2024-02-12,2,3,2024,2,12,0,1,0
15:00,1,2024-02-12,2,3,2024,2,12,0,1,0
15:05,1,2024-02-12,2,3,2024,2,12,0,1,0
15:10,1,2024-02-12,2,3,2024,2,12,0,1,0
15:15,1,2024-02-12,2,3,2024,2,12,0,1,0
15:20,0,2024-02-12,2,3,2024,2,12,0,1,0
15:25,0,2024-02-12,2,3,2024,2,12,0,1,0
15:30,0,2024-02-12,2,3,2024,2,12,0,1,0
15:35,0,2024-02-12,2,3,2024,2,12,0,1,0
15:40,0,2024-02-12,2,3,2024,2,12,0,1,0
