Time,sensor_mo.mean,Date,StudentID,TimePeriod
30/09/2024 15:00,1,30-09-2024,S6,3
30/09/2024 15:05,1,30-09-2024,S6,3
30/09/2024 15:10,1,30-09-2024,S6,3
30/09/2024 15:15,1,30-09-2024,S6,3
30/09/2024 15:20,1,30-09-2024,S6,3
30/09/2024 15:25,1,30-09-2024,S6,3
30/09/2024 15:30,1,30-09-2024,S6,3
30/09/2024 15:35,1,30-09-2024,S6,3
30/09/2024 15:40,1,30-09-2024,S6,3
30/09/2024 15:45,1,30-09-2024,S6,3
30/09/2024 15:50,1,30-09-2024,S6,3
30/09/2024 15:55,1,30-09-2024,S6,3
30/09/2024 16:00,1,30-09-2024,S6,3
02/12/2024 09:00,1,02-12-2024,S1,1
02/12/2024 09:05,1,02-12-2024,S1,1
02/12/2024 09:10,1,02-12-2024,S1,1
02/12/2024 09:15,1,02-12-2024,S1,1
02/12/2024 09:20,1,02-12-2024,S1,1
02/12/2024 09:25,1,02-12-2024,S1,1
02/12/2024 09:30,1,02-12-2024,S1,1
02/12/2024 09:35,1,02-12-2024,S1,1
02/12/2024 09:40,1,02-12-2024,S1,1
02/12/2024 09:45,1,02-12-2024,S1,1
02/12/2024 09:50,0,02-12-2024,S1,1
02/12/2024 09:55,1,02-12-2024,S1,1
02/12/2024 10:00,1,02-12-2024,S1,1
02/12/2024 10:05,1,02-12-2024,S1,1
02/12/2024 10:10,1,02-12-2024,S1,1
02/12/2024 10:15,1,02-12-2024,S1,1
02/12/2024 10:20,1,02-12-2024,S1,1
02/12/2024 10:25,1,02-12-2024,S1,1
02/12/2024 10:30,1,02-12-2024,S1,1
02/12/2024 10:35,1,02-12-2024,S1,1
02/12/2024 10:40,1,02-12-2024,S1,1
02/12/2024 10:45,1,02-12-2024,S1,1
02/12/2024 10:50,1,02-12-2024,S1,1
02/12/2024 10:55,1,02-12-2024,S1,1
02/12/2024 11:00,1,02-12-2024,S1,1
02/12/2024 09:00,1,02-12-2024,S2,1
02/12/2024 09:05,1,02-12-2024,S2,1
02/12/2024 09:10,1,02-12-2024,S2,1
02/12/2024 09:15,0,02-12-2024,S2,1
02/12/2024 09:20,1,02-12-2024,S2,1
02/12/2024 09:25,1,02-12-2024,S2,1
02/12/2024 09:30,1,02-12-2024,S2,1
02/12/2024 09:35,1,02-12-2024,S2,1
02/12/2024 09:40,1,02-12-2024,S2,1
02/12/2024 09:45,1,02-12-2024,S2,1
02/12/2024 09:50,1,02-12-2024,S2,1
02/12/2024 09:55,0,02-12-2024,S2,1
02/12/2024 10:00,1,02-12-2024,S2,1
02/12/2024 10:05,1,02-12-2024,S2,1
02/12/2024 10:10,1,02-12-2024,S2,1
02/12/2024 10:15,1,02-12-2024,S2,1
02/12/2024 10:20,1,02-12-2024,S2,1
02/12/2024 10:25,0,02-12-2024,S2,1
02/12/2024 10:30,1,02-12-2024,S2,1
02/12/2024 10:35,1,02-12-2024,S2,1
02/12/2024 10:40,1,02-12-2024,S2,1
02/12/2024 10:45,0,02-12-2024,S2,1
02/12/2024 10:50,1,02-12-2024,S2,1
02/12/2024 10:55,1,02-12-2024,S2,1
02/12/2024 11:00,1,02-12-2024,S2,1
02/12/2024 09:00,1,02-12-2024,S3,1
02/12/2024 09:05,1,02-12-2024,S3,1
02/12/2024 09:10,1,02-12-2024,S3,1
02/12/2024 09:15,1,02-12-2024,S3,1
02/12/2024 09:20,1,02-12-2024,S3,1
02/12/2024 09:25,0,02-12-2024,S3,1
02/12/2024 09:30,0,02-12-2024,S3,1
02/12/2024 09:35,0,02-12-2024,S3,1
02/12/2024 09:40,1,02-12-2024,S3,1
02/12/2024 09:45,1,02-12-2024,S3,1
02/12/2024 09:50,1,02-12-2024,S3,1
02/12/2024 09:55,1,02-12-2024,S3,1
02/12/2024 10:00,1,02-12-2024,S3,1
02/12/2024 10:05,1,02-12-2024,S3,1
02/12/2024 10:10,1,02-12-2024,S3,1
02/12/2024 10:15,1,02-12-2024,S3,1
02/12/2024 10:20,1,02-12-2024,S3,1
02/12/2024 10:25,1,02-12-2024,S3,1
02/12/2024 10:30,0,02-12-2024,S3,1
02/12/2024 10:35,0,02-12-2024,S3,1
02/12/2024 10:40,1,02-12-2024,S3,1
02/12/2024 10:45,1,02-12-2024,S3,1
02/12/2024 10:50,1,02-12-2024,S3,1
02/12/2024 10:55,1,02-12-2024,S3,1
02/12/2024 11:00,1,02-12-2024,S3,1
02/12/2024 09:00,1,02-12-2024,S4,1
02/12/2024 09:05,1,02-12-2024,S4,1
02/12/2024 09:10,1,02-12-2024,S4,1
02/12/2024 09:15,1,02-12-2024,S4,1
02/12/2024 09:20,0,02-12-2024,S4,1
02/12/2024 09:25,0,02-12-2024,S4,1
02/12/2024 09:30,1,02-12-2024,S4,1
02/12/2024 09:35,1,02-12-2024,S4,1
02/12/2024 09:40,1,02-12-2024,S4,1
02/12/2024 09:45,1,02-12-2024,S4,1
02/12/2024 09:50,1,02-12-2024,S4,1
02/12/2024 09:55,1,02-12-2024,S4,1
02/12/2024 10:00,1,02-12-2024,S4,1
02/12/2024 10:05,1,02-12-2024,S4,1
02/12/2024 10:10,1,02-12-2024,S4,1
