,room,day,period,startTime,endTime,status,attendance,semester,partOfDay
208,ATB212 (25) CL,1,11,18:30,21:30,1,1,1,4
209,ATB212 (25) CL,2,1,9:00,10:00,1,1,1,1
210,ATB212 (25) CL,2,2,10:00,11:00,1,1,1,1
211,ATB212 (25) CL,2,3,11:00,12:00,1,1,1,1
212,ATB212 (25) CL,2,4,12:00,13:00,1,1,1,2
213,ATB212 (25) CL,2,5,13:00,14:00,1,1,1,2
214,ATB212 (25) CL,2,6,14:00,15:00,1,1,1,2
215,ATB212 (25) CL,2,7,15:00,16:00,0,0,1,4
216,ATB212 (25) CL,2,8,16:00,17:00,0,0,1,3
217,ATB212 (25) CL,2,9,17:00,18:00,0,0,1,3
218,ATB212 (25) CL,2,10,18:00,19:00,0,0,1,4
219,ATB212 (25) CL,2,11,18:30,21:30,0,0,1,4
220,ATB212 (25) CL,3,1,9:00,10:00,1,0,1,1
221,ATB212 (25) CL,3,2,10:00,11:00,1,1,1,1
222,ATB212 (25) CL,3,3,11:00,12:00,1,1,1,1
223,ATB212 (25) CL,3,4,12:00,13:00,1,1,1,2
224,ATB212 (25) CL,3,5,13:00,14:00,0,0,1,2
225,ATB212 (25) CL,3,6,14:00,15:00,1,1,1,2
226,ATB212 (25) CL,3,7,15:00,16:00,1,1,1,4
227,ATB212 (25) CL,3,8,16:00,17:00,0,0,1,3
228,ATB212 (25) CL,3,9,17:00,18:00,0,0,1,3
229,ATB212 (25) CL,3,10,18:00,19:00,0,0,1,4
230,ATB212 (25) CL,3,11,18:30,21:30,1,1,1,4
231,ATB212 (25) CL,4,1,9:00,10:00,1,0,1,1
232,ATB212 (25) CL,4,2,10:00,11:00,1,1,1,1
233,ATB212 (25) CL,4,3,11:00,12:00,1,1,1,1
234,ATB212 (25) CL,4,4,12:00,13:00,1,1,1,2
235,ATB212 (25) CL,4,5,13:00,14:00,0,0,1,2
236,ATB212 (25) CL,4,6,14:00,15:00,1,1,1,2
237,ATB212 (25) CL,4,7,15:00,16:00,1,1,1,4
238,ATB212 (25) CL,4,8,16:00,17:00,1,1,1,3
239,ATB212 (25) CL,4,9,17:00,18:00,1,1,1,3
240,ATB212 (25) CL,4,10,18:00,19:00,1,0,1,4
